Location	2010 Population	2014 Population
Goshen town	12,913	13,687
Greenville town	3,800	4,616
Hamptonburgh town	4,686	5,561
Highlands town	12,482	12,492
Middletown city	25,325	28,086
Minisink town	3,585	4,490
Monroe town	31,407	39,912
Montgomery town	20,891	22,606
Mount Hope town	6,639	7,018
Newburgh city	28,259	28,866
Newburgh town	27,571	29,801
New Windsor town	22,861	25,244
Port Jervis city	8,860	8,828
Tuxedo town	3,334	3,624
Wallkill town	24,722	27,426
Warwick town	30,764	32,065
Wawayanda town	6,273	7,266
Woodbury town	9,460	11,353
Orleans County	44,173	42,883
Albion town	9,409	8,468
Barre town	2,124	2,025
Carlton town	2,960	2,994
Clarendon town	3,392	3,648
Gaines town	3,740	3,378
Kendall town	2,838	2,724
Murray town	4,892	4,988
Ridgeway town	6,888	6,780
Shelby town	5,420	5,319
Yates town	2,510	2,559
Oswego County	122,379	122,109
Albion town	2,083	2,073
Amboy town	1,312	1,263
Boylston town	507	549
Constantia town	5,143	4,973
Fulton city	11,855	11,896
Granby town	7,009	6,821
Hannibal town	4,957	4,854
Hastings town	8,803	9,450
Mexico town	5,181	5,197
Minetto town	1,663	1,659
New Haven town	2,930	2,856
Orwell town	1,252	1,167
Oswego city	18,096	18,142
Oswego town	7,287	7,984
Palermo town	3,686	3,664
Parish town	2,694	2,558
Redfield town	607	550
Richland town	5,824	5,718
Sandy Creek town	3,863	3,939
Schroeppel town	8,566	8,501
Scriba town	7,189	6,840
Volney town	6,094	5,926
West Monroe town	4,428	4,252
Williamstown town	1,350	1,277
Otsego County	61,672	62,259
Burlington town	1,085	1,140
Butternuts town	1,792	1,786
Cherry Valley town	1,268	1,223
Decatur town	410	353
Edmeston town	1,818	1,826
Exeter town	954	987
Hartwick town	2,203	2,110
Laurens town	2,398	2,424
Maryland town	1,920	1,897
Middlefield town	2,247	2,114
Milford town	2,938	3,044
Morris town	1,867	1,878
New Lisbon town	1,116	1,114
Oneonta city	13,292	13,901
Oneonta town	4,994	5,229
Otego town	3,187	3,115
